Rank,Title,Username,Rating,Score,Performance,Team
583,,Mary-Cruz,2061,0,,
584,,Miguel9808,2060,0,,
585,,y_torres,2056,0,,
586,,nestoruto,2044,0,,
587,,Dragonet35,2033,0,,
588,,MijailBotvinik,2031,0,,
589,,Franpixie,2019,0,,
590,,carl0sfer23,2014,0,,
591,,panchitooo,2009,0,,
592,,pablopxp,2004,0,,
593,,GuerauB236,2003,0,,
594,,nekitoarroba,2003,0,,
595,,franco2020,2000,0,,
596,,AdrianDeLaCruz23,1997,0,,
597,,Rogson25,1986,0,,
598,,Aphelion_6to,1975,0,,
599,,M-Guille,1974,0,,
600,,Xxalex_pro_777,1970,0,,
601,,ChessOfExperts,1955,0,,
602,,Salvamf350,1955,0,,
603,,FrayYuyo,1954,0,,
604,,maykel3920,1942,0,,
605,,Chumpii,1929,0,,
606,,Construajedrez,1929,0,,
607,,Shapzon,1920,0,,
608,,Fenixofire,1916,0,,
609,,EfraimRodriguez_UP,1911,0,,
610,,Rey_Esimio,1903,0,,
611,,rudydanielcazorla,1902,0,,
612,,TheMrKev,1898,0,,
613,,Jhon1M,1898,0,,
614,,tactic-chess2009,1892,0,,
615,,ikerromeronieto,1890,0,,
616,,Mario_Rober,1881,0,,
617,,Pakombatir,1878,0,,
618,,ausente81,1875,0,,
619,,PabloZelarayan,1873,0,,
620,,daniiir21,1872,0,,
621,,CristianDanilo,1855,0,,
622,,asiercorral,1855,0,,
623,,TheJuancho3000,1853,0,,
624,,Salvatch,1845,0,,
625,,Wos15000,1842,0,,
626,,Perez_Ronaldo97,1839,0,,
627,,andrestapia,1837,0,,
628,,pupibelen,1833,0,,
629,,RealHastaLaMuerteBrr,1825,0,,
630,,Cucu77,1823,0,,
631,,nachendo,1810,0,,
632,,Arturomalo,1805,0,,
633,,Keysi7,1803,0,,
634,,GatoAndres,1795,0,,
635,,tay36,1795,0,,
636,,Santiago820,2001,0,1793,
637,,L_Lawliet95a,1792,0,,
638,,Murielpando7,1785,0,,
639,,BrandonPerez,1784,0,,
640,,sergiogomero,1784,0,,
641,,caludio,1783,0,,
642,,AlejandroNatalio,1782,0,,
643,,Samuel1552,1779,0,,
644,,BENJUAJAAGENIO,1723,0,1779,
645,,Leibniz795,1777,0,,
646,,criathian,1773,0,,
647,,anarkapunk,1772,0,,
